Marca temporal,¿Cuál es su sexo?,¿Qué edad tiene? ,¿Cuál es su peso? (Ingrese el valor entero en kg ),¿Cuál es su estatura? (Ingrese el valor en cm),¿Qué carrera está estudiando?,¿En qué ciclo académico se encuentra actualmente?,¿En cuántos créditos se ha matriculado este ciclo ?,¿En cuántos cursos se ha matriculado este ciclo?,"¿Cuántas horas a la semana dedica a estudiar, sin contar las horas de clase? (Ingresa el valor en número de horas)",¿Tiene conocimiento sobre la quinua?,¿Consume quinua?,¿A qué factor se debe su no consumo de quinua?,¿Con qué frecuencia consumes quinua?,¿Qué tipo de quinua sueles consumir?,¿Cuál es la principal razón por la que consumes quinua?,¿Dónde sueles comprar la quinua que consumes?,¿Qué tan informado/a estás sobre los beneficios nutricionales de la quinua?,¿Cúal consideras que es el principal beneficio de consumir quinua?,¿Qué prioridad o relevancia le das al consumo de la quinua en comparación con otros alimentos?,¿Consideras que el consumo de quinua puede tener alguna relacion con tu desempeño en los estudios?,¿Cuál es la relación que tiene el consumo de quinua con respecto a los estudios?,¿Cuál es el impacto que tiene la quinua en su salud?,¿Cúal sería su opinión respecto al consumo de quinua?,Puntuación
15/09/2023 13:24:47,Masculino,19,68,180,ingeniería Ambiental ,5,20,6,20,Si,Sí,,3,Roja,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Disminuye el cansancio,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 13:51:02,Femenino,18,52,157,Bioingeniería ,4,18,5,4,Si,No,No se prepararla,,,,,,"Aporta un alto contenido de proteinas, vitaminas y minerales",,,,,,
15/09/2023 15:05:13,Femenino,18,50,165,ingeniería ambiental ,5,21,6,18,Si,No,No me gusta el sabor,,,,,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",,,,,,
15/09/2023 15:08:37,Femenino,20,50,157,ING.ambiental,5,23,6,25,Si,Sí,,1,Blanca,Por costumbre,Mercado,2,Es fácil de incorporar en la dieta,2,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 15:25:57,Femenino,20,50,154,Ingeniería ambiental ,5,21,6,8,Si,Sí,,3,Blanca,Por costumbre,Tienda,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,2,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 15:31:14,Femenino,21,60,160,ing.ambiental,4,19,6,3,No,Sí,,2,Blanca,Por tradicion,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 15:33:39,Femenino,19,52,157,Ingeniería Mecatrónica,5,19,5,9,No,Sí,Si consumo,5,Blanca,Todas las anteriores :D,"Un puesto, cerca de la Universidad",2,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Entiendo mejor las clases,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 15:37:52,Femenino,19,61,150,Bioingeniería ,5,24,7,9,Si,Sí,,2,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 16:28:15,Masculino,22,55,172,Ing. Civil,5,26,7,65,Si,Sí,,4,Blanca,Por sabor,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 16:29:23,Femenino,20,54,52,Ingeniería Ambiental ,5,21,6,3,Si,Sí,,2,Blanca,Por tradicion,Mercado,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,2,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 16:38:36,Femenino,20,50,152,Ingeniería industrial ,3,20,6,6,Si,Sí,,2,Blanca,Por salud,Mercado,3,Es fácil de incorporar en la dieta,3,3,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 16:39:04,Femenino,18,55,158,Ingeniería industrial ,3,20,6,20,Si,Sí,No es fundamental en mi dieta,3,Blanca,Por costumbre,Tienda,3,Es bueno para la piel,4,2,Me siento con mayor energía,He notado mejorías en mi piel,No habría diferencia si lo incluyes en tu dieta o no,
15/09/2023 16:40:23,Femenino,19,52,160,Industrial,3,20,6,10,Si,Sí,,3,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me ayuda a estar más atento,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 16:41:17,Femenino,20,60,165,Ingeniería industrial ,3,20,6,6,Si,Sí,,2,Negra,Por costumbre,Mercado,3,Es fácil de incorporar en la dieta,3,2,Me siento con mayor energía,No me enfermo con mucha frecuencia,"No es necesario incluirlo en nuestra dieta, ya hay mucho aliemntos que nos aportan lo mismo",
15/09/2023 16:41:17,Femenino,18,46,151,Ingeniería química ,5,22,6,12,Si,Sí,No es fundamental en mi dieta,3,Blanca,Por salud,Mercado,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,5,Disminuye el cansancio,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 16:49:48,Femenino,19,65,163,Ingeniería industrial ,5,26,7,7,Si,Sí,No puedo conseguirla,2,Negra,Por sabor,Tienda,5,Es fácil de incorporar en la dieta,4,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,No habría diferencia si lo incluyes en tu dieta o no,
15/09/2023 16:49:53,Femenino,19,58,169,Ing industrial ,5,26,7,8,Si,Sí,No se prepararla,3,Blanca,Por costumbre,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento mas satisfecho en apetito,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 16:49:56,Masculino,19,70,173,Bioingeniería ,5,20,6,12,Si,Sí,,3,Blanca,Por sabor,Mercado,3,Ayuda a regular el peso,3,2,Me ayuda a estar más atento,Me siento bien en cuanto a salud física,No habría diferencia si lo incluyes en tu dieta o no,
15/09/2023 16:53:10,Masculino,19,69,165,Industrial,5,21,6,6,Si,Sí,,3,Blanca,Por sabor,"Supermercado (Wong, Metro, Plaza Vea, etc)",3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,No habría diferencia si lo incluyes en tu dieta o no,
15/09/2023 17:00:35,Femenino,22,50,156,ingeniería industrial ,5,25,7,10,Si,Sí,,4,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 17:03:24,Femenino,20,42,153,Ingeniería industrial ,4,26,7,14,No,Sí,,5,Roja,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,Es fácil de incorporar en la dieta,3,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,No habría diferencia si lo incluyes en tu dieta o no,
15/09/2023 17:10:53,Masculino,19,65,170,Computer Science,5,13,4,2,Si,Sí,,2,Blanca,Por salud,Mercado,2,En ideal cuando se hace deporte,2,2,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,No habría diferencia si lo incluyes en tu dieta o no,
15/09/2023 17:13:28,Femenino,20,50,152,Ing. Química,5,20,5,21,Si,Sí,,3,Blanca,Por costumbre,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,4,Entiendo mejor las clases,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 17:26:36,Femenino,20,60,154,Ingeniería Ambiental,5,21,6,7,Si,Sí,,2,Blanca,Por sabor,Mercado,2,Ayuda a prevenir enfermedades,3,3,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 17:51:55,Femenino,20,54,165,Ingenieria industrial,5,18,5,10,Si,Sí,,4,Blanca,Por costumbre,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 17:58:52,Masculino,21,60,173,Bioingeniería ,5,21,7,5,Si,Sí,,2,Blanca,Por tradicion,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 18:01:20,Masculino,19,67,183,Ingeniería industrial,4,24,7,0,Si,Sí,,4,Negra,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,Ayuda a prevenir enfermedades,4,4,Me siento mas satisfecho en apetito,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
15/09/2023 18:20:46,Masculino,21,64,170,Ingeniería civil ,5,4,7,4,Si,No,No me gusta el sabor,3,Roja,Por salud,Tienda,2,Es fácil de incorporar en la dieta,3,1,Entiendo mejor las clases,He mejorado mis niveles de colesterol y triglicéridos,No habría diferencia si lo incluyes en tu dieta o no,
16/09/2023 10:11:22,Femenino,18,40,163,Ciencia de datos,3,22,6,45,Si,Sí,,2,Blanca,Por costumbre,Mercado,1,"Aporta un alto contenido de proteinas, vitaminas y minerales",1,2,,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 10:31:43,Masculino,21,72,172,Ingenieria civil,5,26,7,8,Si,Sí,,3,Blanca,Por salud,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 10:32:39,Masculino,19,70,179,Ingeniería mecatrónica,3,22,6,24,Si,Sí,,4,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 10:33:12,Masculino,18,66,165,Ingeniería Mecatrónica ,3,22,6,6,Si,Sí,,4,Blanca,Por sabor,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 10:33:50,Femenino,18,65,174,Mecatrónica ,3,21,6,6,Si,Sí,,2,Blanca,Por costumbre,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,4,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 10:34:44,Masculino,19,100,186,Ing. Ambiental,4,18,5,4,Si,Sí,,4,Blanca,Por costumbre,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,5,Me siento mas satisfecho en apetito,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 10:43:10,Femenino,19,55,157,Ingeniería Química,3,22,6,15,Si,Sí,,2,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 17:56:32,Masculino,18,55,170,Ingeniería Biológica ,4,12,3,5,Si,Sí,,2,Blanca,Por salud,A un negociando de confianza.,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
16/09/2023 18:46:23,Femenino,19,50,160,Ingeniería Industrial ,3,21,6,30,Si,Sí,,2,Blanca,Por costumbre,Tienda,1,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,4,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 12:07:24,Femenino,18,55,150,Industrial ,5,26,7,10,Si,Sí,,3,Blanca,Por tradicion,Mercado,3,Ayuda a prevenir enfermedades,3,4,Me ayuda a estar más atento,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 12:11:58,Masculino,20,65,175,Ingeniería Industrial ,5,22,6,28,Si,Sí,No se prepararla,5,Blanca,Por costumbre,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,3,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 12:13:54,Masculino,21,78,1.78,Industrial ,5,19,5,30,Si,Sí,,5,Blanca,Por costumbre,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,3,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 12:27:03,Masculino,26,61,170,Ingeniería mecánica ,8,15,4,6,Si,Sí,,4,Blanca,Por salud,Tienda,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,5,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 12:43:27,Femenino,18,57,1.60,Ingeniería Industrial,1,22,7,8,Si,Sí,,3,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 13:31:12,Femenino,19,48,156,Industrial ,4,23,6,15,Si,Sí,,3,Blanca,Por salud,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 15:00:11,Masculino,20,70,184,Ciencias de la computación ,4,17,4,8,Si,Sí,No se prepararla,3,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",3,En ideal cuando se hace deporte,3,3,Disminuye el cansancio,He notado mejorías en mi piel,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 15:02:39,Femenino,18,64,164,Ingeniería Quimica,4,20,5,9,Si,Sí,,3,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento mas satisfecho en apetito,,,
18/09/2023 15:05:05,Masculino,19,61,170,Ingeniería Civil,5,24,6,10,Si,Sí,,4,Blanca,Por sabor,Carretillas,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,5,Me ayuda a estar más atento,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 15:10:49,Femenino,20,80,170,Ingeniería Civil,5,23,6,10,Si,Sí,,3,Blanca,Por costumbre,Tienda,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 15:22:53,Femenino,21,50,140,ING chivil,3,25,7,0,Si,Sí,,2,Blanca,Por sabor,Mercado,3,Ayuda a prevenir enfermedades,1,2,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,,
18/09/2023 15:23:48,Masculino,19,62,166,Mecatrónica ,3,22,6,8,Si,Sí,,2,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 15:24:39,Femenino,19,49,150,Ing.Química ,4,23,6,8,Si,Sí,,2,Blanca,Por costumbre,"Supermercado (Wong, Metro, Plaza Vea, etc)",2,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,3,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 16:06:03,Femenino,23,48,1.55,Ingeniería electrónica ,5,18,5,4,No,Sí,,3,Blanca,Por sabor,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 16:22:22,Masculino,19,73,1.78,Ingeniería civil,5,21,6,8,No,Sí,,4,Blanca,Por sabor,Mercado,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 16:28:15,Masculino,20,80,170,ING. Mecatrónica ,5,20,5,7,Si,Sí,,2,Roja,Por sabor,Tienda,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 17:43:52,Femenino,21,56,150,Ing civil,5,23,5,4,Si,Sí,,5,Blanca,Por salud,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,4,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 22:15:31,Masculino,23,63,1.62,Ing de la energía ,7,20,5,12,Si,Sí,,4,Blanca,Por salud,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,4,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 22:18:08,Femenino,19,55,160,Ingenieria Industrial,5,26,7,10,Si,Sí,,3,Blanca,Por sabor,Mercado,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 22:26:26,Femenino,21,63,1.58,Industrial ,7,16,4,28,Si,Sí,,3,Blanca,Por salud,Mercado,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,2,Me siento con mayor energía,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 22:26:51,Masculino,19,80,161,Ingeniería Mecánica,7,26,7,8,Si,Sí,,2,Blanca,Por el almuerzo,"Supermercado (Wong, Metro, Plaza Vea, etc)",2,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,3,Me siento mas satisfecho en apetito,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 22:45:52,Masculino,22,82,175,Ingenieria Mecánica,7,18,5,12,Si,Sí,,2,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,3,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
18/09/2023 23:06:55,Masculino,20,67,163,Ing energia ,6,15,5,4,Si,Sí,,3,Roja,Por sabor,Tienda,2,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,2,Me siento con mayor energía,Me siento bien en cuanto a salud física,No habría diferencia si lo incluyes en tu dieta o no,
18/09/2023 23:37:37,Masculino,22,80,1.77,Ingeniería mecánica ,8,20,5,6,Si,Sí,,1,Blanca,Por salud,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",2,3,Disminuye el cansancio,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 0:07:20,Masculino,21,76,178,Ingeniería Industrial,7,26,7,6,Si,Sí,,1,Blanca,Por salud,Tienda,2,Ayuda a prevenir enfermedades,3,3,Me siento con mayor energía,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 8:17:47,Masculino,24,74,172,Ing. Industrial,9,22,6,15,Si,No,No se prepararla,3,Blanca,Por tradicion,Mercado,4,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,5,Me siento con mayor energía,He podido regular mi peso,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 8:42:41,Femenino,22,60,162,Ingeniería química ,10,4,1,10,Si,Sí,,3,Blanca,Por salud,"Supermercado (Wong, Metro, Plaza Vea, etc)",4,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,3,Me siento mas satisfecho en apetito,Me siento bien en cuanto a salud física,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 10:14:12,Femenino,19,50,157,Ing. Ambiental ,4,22,7,6,Si,Sí,,2,Blanca,Por salud,Mercado,5,"Aporta un alto contenido de proteinas, vitaminas y minerales",5,5,Disminuye el cansancio,No me enfermo con mucha frecuencia,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 10:16:52,Masculino,24,68,173,Ing de la Energía,5,19,6,15,Si,Sí,,2,Blanca,Por tradicion,Mercado,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",4,3,Me siento con mayor energía,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
19/09/2023 10:21:19,Femenino,22,64,168,Ingeniería Industrial,7,18,6,10,Si,Sí,,3,Blanca,Por costumbre,Desde ayacucho,3,"Aporta un alto contenido de proteinas, vitaminas y minerales",3,4,Me siento mas satisfecho en apetito,He mejorado mis niveles de colesterol y triglicéridos,Es un alimento escencial que debemos incluir en nuestra dieta debido a su gran contenido nutricional,
